mod_razona_cuantitat_punt,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_tienecomputador,estu_pagomatricula,estu_metodo_prgm,inst_caracter_academico,inst_origen,fami_educacionpadre,fami_ocupacionpadre,fami_educacionmadre,fami_ocupacionmadre,estu_tituloobtenidobachiller,estu_horassemanatrabaja,estu_valormatriculauniversidad,fami_tieneautomovil,fami_tienemotocicleta,edad,desempeno_dicotomico
138,F,Estrato 3,Si,Si, Propios,DISTANCIA VITUAL,UNIVERSIDAD,NO OFICIAL - CORPORACIÓN,Técnica o tecnológica completa,Pensionado,Técnica o tecnológica completa,Pequeño empresario,Bachiller académico,Entre 11 y 20 horas,Entre 4 millones y menos de 5.5 millones,No,No,32,1
185,F,,,,,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,,Hogar,,Hogar,Bachiller técnico,,No pagó matrícula,,,24,0
133,M,Estrato 1,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria incompleta,Trabajador por cuenta propia,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Bachiller académico,Más de 30 horas,No pagó matrícula,No,Si,22,1
95,F,Estrato 1,No,No, Propios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Técnica o tecnológica completa,Empleado de nivel técnico o profesional,Secundaria (Bachillerato) completa,Trabajador por cuenta propia,Bachiller técnico,Más de 30 horas,Menos de 500 mil,No,No,23,1
157,F,Estrato 2,Si,Si,Familiares,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Educación profesional incompleta,Empleado de nivel técnico o profesional,Secundaria (Bachillerato) completa,Hogar,Bachiller académico,Más de 30 horas,No pagó matrícula,No,No,22,0
148,F,Estrato 1,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Empleado obrero u operario,Secundaria (Bachillerato) incompleta,Trabajador por cuenta propia,Bachiller técnico,Entre 11 y 20 horas,No pagó matrícula,No,Si,23,0
118,F,,Si,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Secundaria (Bachillerato) completa,Otra actividad u ocupación,Bachiller académico,Entre 11 y 20 horas,Menos de 500 mil,No,No,22,1
180,F,Estrato 1,Si,No,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Primaria completa,Empleado obrero u operario,Primaria completa,Hogar,Bachiller técnico,Entre 11 y 20 horas,Menos de 500 mil,No,No,21,0
115,F,Estrato 2,Si,Si,Becas o Subsidios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Ninguno,Pensionado,Técnica o tecnológica incompleta,Hogar,Bachiller académico,Más de 30 horas,No pagó matrícula,No,No,30,1
167,F,Estrato 1,Si,No, Propios,PRESENCIAL,UNIVERSIDAD,OFICIAL DEPARTAMENTAL,Técnica o tecnológica incompleta,Empleado obrero u operario,Secundaria (Bachillerato) completa,Hogar,Bachiller técnico,Más de 30 horas,No pagó matrícula,No,No,21,0
